id,scenario,role,module,feature,steps,expected,status,comments
UAT-001,N/A,All Users,Authentication,Login,"1. Navigate to /login
2. Enter valid email (admin@wujha.om)
3. Enter valid password
4. Click 'Sign In' button","1. User authenticated successfully
2. JWT token generated and stored in cookies
3. Redirected to /procurement/dashboard
4. User information displayed in header
5. Navigation sidebar visible with role-based menu items",,
UAT-002,N/A,All Users,Authentication,Password Change,"1. Login to system
2. Click profile icon in header
3. Select 'Change Password'
4. Navigate to /change-password
5. Enter current password
6. Enter new password
7. Confirm new password
8. Click 'Change Password'","1. Password validation performed (min 8 chars, uppercase, lowercase, number)
2. Password changed successfully
3. Success message displayed
4. User remains logged in
5. Password history updated",,
UAT-003,N/A,All Users,Authentication,Session Timeout,"1. Login to system
2. Remain idle for extended period (8 hours)
3. Attempt to access any protected page","1. Session expires after timeout
2. User redirected to /login
3. Message: 'Session expired, please login again'
4. JWT token cleared from cookies",,
UAT-004,N/A,All Users,Authentication,Role-Based Access Control,"1. Login with different roles (SUPER_ADMIN, ADMIN, FINANCE_MANAGER, PROCUREMENT_MANAGER, BUDGET_CONTROLLER, PROJECT_MANAGER, SITE_ENGINEER, WAREHOUSE_KEEPER, PROCUREMENT_OFFICER, APPROVER, VIEWER)
2. Observe navigation menu options
3. Attempt to access restricted pages
4. Attempt to perform restricted actions","1. Menu items display based on role permissions
2. Admin section visible only to ADMIN and SUPER_ADMIN
3. Restricted pages show 403 Forbidden or redirect
4. Action buttons visible/hidden based on permissions
5. API requests validate role permissions",,
UAT-005,1-A,ADMIN/SUPER_ADMIN,User Management,Create User,"1. Login as ADMIN/SUPER_ADMIN
2. Navigate to /admin/users
3. Click 'Add New User' button
4. Fill in user details:
   - Email
   - Name
   - Employee ID
   - Department
   - Role (select from dropdown)
   - Approval Limit (if applicable)
5. Set initial password
6. Select 'Must Change Password' checkbox
7. Click 'Create User'","1. New user created successfully
2. User appears in users list
3. User can login with provided credentials
4. User prompted to change password on first login
5. Audit log records user creation
6. Role permissions applied correctly",,
UAT-006,1-B,ADMIN/SUPER_ADMIN,User Management,Edit User,"1. Navigate to /admin/users
2. Find desired user in list
3. Click edit icon (pencil)
4. Update user information:
   - Name
   - Department
   - Role
   - Approval Limit
   - Active status
5. Click 'Save Changes'","1. User details updated successfully
2. Changes reflected immediately
3. If role changed, permissions update
4. Success message displayed
5. Audit log records changes",,
UAT-007,1-C,ADMIN/SUPER_ADMIN,User Management,Deactivate User,"1. Navigate to /admin/users
2. Find active user
3. Click deactivate icon (user-x)
4. Confirm deactivation","1. User status changed to inactive
2. User cannot login
3. User removed from approval workflows
4. Success message displayed
5. Can be reactivated later",,
UAT-008,1-D,ADMIN/SUPER_ADMIN,User Management,View User Details,"1. Navigate to /admin/users
2. Search for specific user (by name, email, or employee ID)
3. Click view icon (eye)
4. View user details page","1. Complete user profile displayed
2. Shows: email, name, department, role, approval limit
3. Shows login history
4. Shows audit trail of user actions
5. Shows active status",,
UAT-009,2-A,ADMIN/SUPER_ADMIN,User Management,Filter Users,"1. Navigate to /admin/users
2. Use search box to filter by name/email/employeeId
3. Use role filter dropdown
4. Use department filter dropdown
5. Use status filter (active/inactive)","1. User list filters in real-time
2. Multiple filters can be combined
3. Count of filtered users displayed
4. Clear filters option available",,
UAT-010,3-A,PROCUREMENT_OFFICER/PROCUREMENT_MANAGER,Vendor Management,Register Vendor,"1. Navigate to /procurement/services/vendors
2. Click 'Add New Vendor' button
3. Fill Basic Information:
   - Name (English and Arabic)
   - CR Number
   - Tax ID
   - VAT Number
   - Business Type
   - Year Established
   - Number of Employees
   - Omanization Percentage
4. Fill Contact Information:
   - Primary Contact Name
   - Email
   - Mobile
   - Address (building, street, city, governorate, postal code, country)
5. Fill Banking Information:
   - Bank Name
   - Account Number
   - IBAN
6. Select Categories (multiple selection)
7. Click 'Register Vendor'","1. Vendor registered with PENDING status
2. Unique vendor code auto-generated
3. Vendor appears in vendors list
4. Can upload documents next
5. Success message with vendor code displayed",,
UAT-011,3-B,PROCUREMENT_OFFICER/PROCUREMENT_MANAGER,Vendor Management,Upload Vendor Documents,"1. Navigate to vendor details page
2. Go to 'Documents' tab
3. Click 'Upload Document'
4. Select document type:
   - Commercial Registration
   - Tax Certificate
   - Insurance Certificate
   - ISO Certificate
   - Bank Details
5. Choose file
6. Set expiry date (if applicable)
7. Click 'Upload'","1. Document uploaded successfully
2. Document appears in list with type and expiry
3. File stored securely
4. Document name and upload date shown
5. Can download/view document",,
UAT-012,3-C,PROCUREMENT_MANAGER,Vendor Management,Approve Vendor,"1. Navigate to /procurement/services/vendors
2. Filter by status: PENDING
3. Click on vendor to view details
4. Review all information and documents
5. Click 'Approve Vendor' button
6. Confirm approval","1. Vendor status changes: PENDING → APPROVED → ACTIVE
2. Vendor available for selection in PRs and RFQs
3. Approval recorded with date and approver
4. Notification sent to vendor (if configured)
5. Vendor can now receive RFQs/RFPs",,
UAT-013,3-D,PROCUREMENT_MANAGER,Vendor Management,Evaluate Vendor,"1. Navigate to vendor details
2. Go to 'Evaluations' tab
3. Click 'Add Evaluation'
4. Rate vendor on criteria (1-5 scale):
   - Quality Score
   - Delivery Score
   - Price Score
   - Service Score
5. Add comments
6. Enter evaluator name
7. Click 'Submit Evaluation'","1. Evaluation recorded
2. Overall score calculated (average of 4 criteria)
3. Vendor's performance score updated
4. Evaluation appears in history
5. Can export evaluation report",,
UAT-014,3-E,All Users,Vendor Management,View Vendor Performance,"1. Navigate to /procurement/services/vendors
2. View vendors list with performance scores
3. Sort by performance score
4. Click on vendor to view:
   - Evaluation history
   - Average scores by criteria
   - Performance trends
   - Related POs and contracts","1. Performance metrics displayed accurately
2. Trend charts show improvement/decline
3. Comparison with other vendors possible
4. Detailed evaluation history available",,
UAT-015,4-A (Stock Items),PROCUREMENT_OFFICER,Purchase Requisition,Create Stock Item PR,"1. Navigate to /procurement/requisitions
2. Click 'Create New Requisition'
3. Step 1 - Basic Information:
   - Select Item Type: STOCK
   - Select Department
   - Select Project (optional)
   - Enter BOQ Reference (optional)
   - Select Priority (LOW, NORMAL, HIGH, URGENT)
   - Set Required By Date
   - Enter Justification
4. Click 'Next'
5. Step 2 - Add Items:
   - Click 'Add Item'
   - Search and select stock items from catalog
   - Enter quantity
   - Enter estimated price
   - Add specifications (optional)
   - Set required date per item
   - Repeat for multiple items
6. Click 'Next'
7. Step 3 - Budget:
   - Enter Budget Code
   - Enter Cost Center (optional)
   - Review total estimated cost
8. Click 'Submit as Draft' or 'Submit for Approval'","1. PR created with unique PR Number (format: PR-YYYY-####)
2. All items saved with specifications
3. Status: DRAFT or SUBMITTED
4. Total cost calculated automatically
5. If SUBMITTED: approval workflow initiated
6. Creator can view PR in requisitions list
7. Approvers receive notifications (if submitted)",,
UAT-016,4-B (Non-Stock Items),PROCUREMENT_OFFICER,Purchase Requisition,Create Non-Stock Item PR,"1. Navigate to /procurement/requisitions
2. Click 'Create New Requisition'
3. Step 1 - Select Item Type: NON_STOCK
4. Fill basic information (department, priority, dates, justification)
5. Step 2 - Add Items:
   - Click 'Add Non-Stock Item'
   - Enter item description (no pre-defined catalog)
   - Enter quantity and unit
   - Enter estimated price
   - Add detailed specifications
6. Step 3 - Budget validation
7. Submit for approval","1. Non-stock PR created
2. Items created ad-hoc (not from catalog)
3. No inventory tracking applied
4. Same approval workflow as stock items
5. Can proceed to RFQ and PO
6. GRN created without inventory update",,
UAT-017,4-C (Services),PROCUREMENT_OFFICER,Service Requisition,Create Service Requisition,"1. Navigate to /procurement/services/requisitions
2. Click 'New Service Request'
3. Step 1 - Service Details:
   - Select Service Category (Subcontractors, Equipment Rental, Professional Services, etc.)
   - Select Service Type (based on category)
   - Select Department
   - Select Project (optional)
   - Set Priority
   - Enter Requestor name
4. Click 'Next'
5. Step 2 - Scope Definition:
   - Enter Detailed Scope of Work
   - Add Technical Specifications
   - Define Service Items:
     * Description
     * Service Type
     * Quantity
     * Unit
     * Estimated Rate
     * Duration and Duration Unit
     * Deliverables (list)
     * Performance Metrics (list)
   - Define Milestones:
     * Description
     * Due Date
     * Payment Percentage
     * Acceptance Criteria
6. Click 'Next'
7. Step 3 - Commercial Details:
   - Enter Estimated Total Cost
   - Select Payment Terms (NET_30, NET_60, etc.)
   - Select Payment Schedule (LUMPSUM, MILESTONE, MONTHLY, TIME_MATERIAL)
   - Select Preferred Vendors (optional, multiple)
8. Click 'Next'
9. Step 4 - Compliance & Budget:
   - Enter Budget Code
   - Enter Cost Center
   - Set Required By Date
   - Check if Insurance Required
   - Add Safety Requirements
   - Add Quality Standards
   - Enter Justification
10. Click 'Next'
11. Step 5 - Review & Submit:
   - Review all details
   - Click 'Submit for Approval'","1. Service PR created with unique number
2. All service items and milestones saved
3. Different approval workflow than stock items
4. Status: SUBMITTED
5. Technical approval may be required
6. Legal approval may be required (for high-value)
7. Approvers notified
8. Can proceed to RFP (not RFQ) after approval",,
UAT-018,5-A,PROCUREMENT_OFFICER,Purchase Requisition,View PR List,"1. Navigate to /procurement/requisitions
2. View list of all PRs
3. Use filters:
   - Status (DRAFT, SUBMITTED, APPROVED, REJECTED)
   - Item Type (STOCK, NON_STOCK, SERVICE)
   - Date Range
   - Department
4. Use search by PR Number
5. Sort by columns (PR#, Date, Status, Amount)","1. PRs displayed in table format
2. Shows: PR Number, Date, Requester, Department, Item Type, Total Cost, Status
3. Status badges color-coded:
   - DRAFT: Gray
   - SUBMITTED: Yellow
   - APPROVED: Green
   - REJECTED: Red
4. Filters work correctly
5. Search is instant
6. Pagination if many records",,
UAT-019,5-B,APPROVER/PROCUREMENT_MANAGER,Purchase Requisition,Submit PR for Approval,"1. Navigate to /procurement/requisitions
2. Find DRAFT PR
3. Method 1 - Quick Submit:
   - Click green checkmark icon in Actions column
   - Confirm submission
4. Method 2 - From Detail Page:
   - Click eye icon to view PR
   - Click 'Submit for Approval' button
   - Confirm submission","1. PR status changes: DRAFT → SUBMITTED
2. Approval workflow initiated automatically
3. System selects approval rule based on:
   - Document type (PR)
   - Amount
   - Department
   - Item type
4. Approval records created for each level
5. Level 1 approver receives notification
6. Subsequent levels wait for previous approval
7. Success message displayed",,
UAT-020,5-C,APPROVER/PROCUREMENT_MANAGER,Purchase Requisition,Approve PR,"1. Login as approver
2. Navigate to /approvals
3. View pending PRs assigned to you
4. Click on PR to review details:
   - Basic information
   - All line items
   - Budget information
   - Justification
5. Review thoroughly
6. Click 'Approve' button
7. Add comments (optional)
8. Click 'Confirm Approval'","1. Approval status recorded
2. If not final level: next approver notified
3. If final level: PR status changes to APPROVED
4. Requester notified of approval
5. PR can now be converted to RFQ or PO
6. Approval history shows approver, date, comments
7. Cannot be undone (must reject and resubmit)",,
UAT-021,5-D,APPROVER/PROCUREMENT_MANAGER,Purchase Requisition,Reject PR,"1. Navigate to /approvals
2. Click on PR to review
3. Identify issue (budget, specs, etc.)
4. Click 'Reject' button
5. Enter rejection reason (mandatory)
6. Click 'Confirm Rejection'","1. PR status changes to REJECTED
2. Requester receives notification with reason
3. Approval workflow stops
4. Requester can:
   - Edit PR
   - Address concerns
   - Resubmit for approval (starts new workflow)
5. Rejection history maintained",,
UAT-022,6-A (Stock Items),PROCUREMENT_OFFICER,RFQ Management,Create RFQ from PR,"1. Navigate to /procurement/requisitions
2. Find APPROVED stock/non-stock PR
3. Click 'Create RFQ' button
4. Or navigate to /procurement/rfq/new
5. Fill RFQ Details:
   - Select PR (dropdown of approved PRs)
   - PR details auto-populate
   - Set RFQ Title
   - Enter Description
   - Set Closing Date & Time
   - Enter Terms and Conditions
6. Select Vendors (multiple):
   - Search vendors by name
   - Filter by category
   - Check vendors to invite (minimum 1)
   - Selected count displayed
7. Define Evaluation Criteria:
   - Technical Score weight (default 40%)
   - Commercial Score weight (default 30%)
   - Delivery Score weight (default 20%)
   - Experience Score weight (default 10%)
   - Total must equal 100%
8. Click 'Create RFQ'","1. RFQ created with unique number (format: RFQ-YYYY-####)
2. Status: DRAFT
3. Selected vendors saved to RFQVendor table
4. Cannot create duplicate RFQ for same PR (validation)
5. RFQ appears in list
6. Can edit before publishing",,
UAT-023,6-B,PROCUREMENT_OFFICER,RFQ Management,Publish RFQ and Send Invitations,"1. Navigate to /procurement/rfq
2. Find DRAFT RFQ
3. Click on RFQ to view details
4. Review all information
5. Click 'Publish RFQ' button
6. Confirm publication
7. Click 'Send Invitations' button
8. Confirm sending","1. RFQ status changes: DRAFT → PUBLISHED
2. Email invitations sent to all selected vendors
3. Each vendor receives:
   - RFQ details
   - Submission deadline
   - Submission link: /rfq/submit/[rfqId]
   - PDF attachment (if configured)
4. Invitation timestamps recorded
5. Cannot edit RFQ after publishing
6. Vendors can now submit proposals",,
UAT-024,6-C,VENDOR (External),RFQ Management,Submit RFQ Response,"1. Receive RFQ invitation email
2. Click submission link
3. Review RFQ details and requirements
4. Fill in Proposal:
   - Enter Quoted Price
   - Upload Proposal Document (PDF/DOC)
   - Enter Delivery Lead Time (days)
   - Add Technical Notes
   - Add Commercial Notes
   - Enter Contact Person
5. Review submission
6. Click 'Submit Proposal'
7. Confirm submission","1. Proposal submitted successfully
2. Vendor receives confirmation email
3. Submission timestamp recorded
4. Cannot edit after submission (contact procurement if needed)
5. RFQResponse record created with status: SUBMITTED
6. Procurement can view submission",,
UAT-025,6-D,PROCUREMENT_OFFICER/PROCUREMENT_MANAGER,RFQ Management,Evaluate RFQ Responses,"1. Login as procurement user
2. Navigate to /procurement/rfq
3. Find RFQ with status: PUBLISHED (after closing date)
4. Click on RFQ to view details
5. Go to 'Responses' tab
6. View all submitted proposals
7. For each response:
   - Click 'Evaluate' button
   - Review proposal document
   - Enter scores (0-100 for each criterion):
     * Technical Score (max based on weight)
     * Commercial Score (max based on weight)
     * Delivery Score (max based on weight)
     * Experience Score (max based on weight)
   - System calculates Overall Weighted Score
   - Add Evaluation Comments
   - Click 'Save Evaluation'
8. Repeat for all responses","1. Individual scores saved separately
2. Overall score calculated automatically using weights
3. Response status changes: SUBMITTED → EVALUATED
4. After all evaluated, RFQ status changes to EVALUATED
5. Scores visible in responses table
6. Can sort by overall score
7. Top-scored vendor highlighted",,
UAT-026,6-E,PROCUREMENT_MANAGER,RFQ Management,Award RFQ,"1. Navigate to RFQ with EVALUATED status
2. Review all evaluated responses
3. Identify highest-scoring vendor
4. Click 'Select as Winner' button on that response
5. Confirm selection
6. Dialog: 'Would you like to create a Purchase Order?'
7. Click 'Yes'","1. Selected response marked as: SELECTED
2. Other responses marked as: REJECTED
3. RFQ status changes to: AWARDED
4. Award notification sent to winning vendor
5. Rejection notifications sent to other vendors
6. Award details recorded with date and awarder
7. Redirected to /procurement/purchase-orders/new?rfqId=[id]&vendorId=[vendorId]
8. PO creation page pre-populated with RFQ data",,
